Date,WHSCC_Staff_N1,WHSCC_Staff_N2,WHSCC_NIC_E_N1,WHSCC_NIC_E_N2,WHSCC_NIC_E_N3,WHSCC_NIC_E_N4,WHSCC_NIC_E_N5,WHSCC_NIC_E_N6,WHSCC_NIC_E_N7,WHSCC_NIC_E_N8,WHSCC_NIC_E_N9,WHSCC_NIC_E_N10,WHSCC_NIC_E_N11,WHSCC_NIC_E_N12,WHSCC_NIC_N_N1,WHSCC_NIC_N_N2,WHSCC_NIC_N_N3,WHSCC_NIC_N_N4,WHSCC_NIC_N_N5,WHSCC_NIC_N_N6,WHSCC_NIC_N_N7,WHSCC_NIC_N_N8,WHSCC_NIC_N_N9,WHSCC_NIC_N_N10,WHSCC_NIC_N_N11,WHSCC_NIC_PoB_N1,WHSCC_NIC_PoB_N2,WHSCC_NIC_PoB_N3,WHSCC_NIC_PoB_N4,WHSCC_NIC_PoB_N5,WHSCC_NIC_PoB_N6,WHSCC_NIC_PoB_N7,WHSCC_NIC_PoB_N8,WHSCC_NIC_PoB_N9,WHSCC_NIC_PoB_N10,WHSCC_NIC_S_N1,WHSCC_NIC_S_N2,WHSCC_NIC_S_N3,WHSCC_NIC_S_N4,WHSCC_NIC_S_N5,WHSCC_NIC_S_N6,WHSCC_NIC_S_N7,WHSCC_NIC_S_N8,WHSCC_NIC_S_N9,WHSCC_NIC_S_N10,WHSCC_NIC_S_N11,WHSCC_NIC_S_N12,WHSCC_NIC_L_N1,WHSCC_NIC_L_N2,WHSCC_NIC_L_N3,WHSCC_NIC_L_N4,WHSCC_NIC_L_N5,WHSCC_NIC_L_N6,WHSCC_NIC_L_N7,WHSCC_NIC_L_N8,WHSCC_NIC_L_N9,WHSCC_NIC_L_N10,WHSCC_NIC_ST_N1,WHSCC_NIC_ST_N2,WHSCC_NIC_ST_N3,WHSCC_NIC_ST_N4,WHSCC_NIC_ST_N5,WHSCC_NIC_ST_N6,WHSCC_NIC_SC_N1,WHSCC_NIC_SC_N2,WHSCC_NIC_SC_N3,WHSCC_NIC_SC_N4,WHSCC_NIC_SC_N5,WHSCC_NIC_TE_N1,WHSCC_NIC_TE_N2,WHSCC_NIC_TE_N3,WHSCC_NIC_TE_N4,WHSCC_NIC_TE_N5,WHSCC_NIC_TE_N6,WHSCC_NIC_HiS_N1,WHSCC_NIC_HiS_N2,WHSCC_NIC_HiS_N3,WHSCC_NIC_HiS_N4,WHSCC_NIC_LoS_N1,WHSCC_NIC_ LoS_N2,WHSCC_NIC_ LoS_N3,WHSCC_NIC_ LoS_N4,WHSCC_NIC_WSS_N1,WHSCC_NIC_WSS_N2,WHSCC_NIC_LT_N1,WHSCC_NIC_LT_N2,WHSCC_NIC_RoI_N1,WHSCC_NIC_RoI_N2,WHSCC_AC_Total,WHSCC_AC_AvgCC,WHSCC_AC_CpBDayR,WHSCC_AC_CDpBDayR,Fin_CpBDay_Total,Fin_PH_N1,Fin_PH_N2,Fin_PH_N3,Fin_PH_N4,Fin_PH_N5,Fin_PH_N6,Fin_CSDpBDay_N1,Fin_CSDpBDay_N2,Fin_CSDpBDay_N3,Fin_CSDpBDay_N4,Fin_CSDpBDay_N5,Fin_CSDpBDay_N6,Fin_CSDpBDay_N7,Fin_CSDpBDay_N8,Fin_CSDpBDay_N9,Vol_Hours,Comments
112002,11,1,9,5,4,11,15,12,3,6,11,0,4,10,1,0,0,5,2,3,0,3,1,2,0,5,4,5,6,4,7,5,7,4,7,0,14,5,10,2,19,15,0,4,5,4,16,8,0,8,6,1,10,8,1,5,3,7,0,8,3,9,7,8,5,1,2,7,3,3,3,5,5,0,0,2,1,2,1,5,4,2,4,9,11,1,5,13,11,"$1,882.00",0.68,"$2,342.00",$707.00,"5,358","6,868","1,135","6,491","6,335",131,"$5,843.00","$4,537.00","$10,117.00","$16,195.00","$1,593.00","$3,237.00","$14,892.00","$14,732.00","$12,221.00","3,749",Comment text to 300 characters
122002,11,7,8,15,9,2,1,14,11,8,4,3,9,11,12,2,0,1,5,1,0,5,1,4,5,4,6,4,6,6,5,5,4,6,4,10,20,18,10,4,11,8,10,15,18,18,4,1,6,5,7,7,3,6,2,1,3,9,1,8,0,8,0,5,3,7,4,0,3,6,3,2,0,2,4,2,3,4,4,6,5,3,6,4,10,2,5,9,2,"$2,182.00",0.49,"$2,087.00","$2,226.00","4,835","5,192","1,272","9,300","4,642","5,908",$690.00,"$7,793.00","$8,890.00","$11,665.00","$3,037.00","$4,612.00","$13,159.00","$3,816.00","$5,822.00",450,Comment text to 300 characters
12003,8,8,7,12,9,14,2,2,5,0,14,12,5,1,13,1,2,1,5,4,3,4,4,1,2,0,5,6,6,7,6,5,5,4,4,12,13,1,16,0,17,1,16,4,12,13,18,1,3,3,2,1,0,3,7,0,6,10,9,0,2,10,4,3,4,2,6,0,0,6,6,4,6,6,4,3,6,0,2,4,1,1,12,7,3,0,0,5,4,$515.00,0.39,"$1,278.00","$1,303.00","3,394",96,716,"5,750","2,152","8,644","$18,219.00","$9,922.00","$16,331.00","$14,909.00","$7,100.00",$647.00,$631.00,"$5,076.00","$12,026.00","7,558",Comment text to 300 characters
22003,9,0,2,4,7,5,4,10,12,3,5,10,10,7,11,5,1,4,0,3,4,4,5,4,2,2,6,6,5,5,4,4,4,6,6,16,10,4,18,7,15,5,9,9,17,10,16,9,3,5,3,5,6,6,4,8,0,10,1,8,9,8,7,3,7,6,6,6,3,4,6,2,4,4,4,3,0,6,2,5,1,3,3,6,4,6,14,11,22,"$1,455.00",0.17,$529.00,"$1,802.00","8,678","6,050","4,304",795,"5,229",920,"$10,564.00","$20,124.00","$12,565.00","$15,529.00","$12,288.00","$1,606.00","$12,070.00","$1,252.00","$19,705.00","4,416",Comment text to 300 characters
32003,11,5,14,14,2,4,3,15,0,12,1,13,4,0,13,5,3,5,0,4,1,0,3,0,5,5,7,4,5,5,7,6,7,7,6,19,18,8,6,2,9,17,6,15,0,10,18,5,5,9,7,2,4,7,1,2,9,5,8,1,2,3,2,0,10,5,6,4,2,6,0,5,4,4,2,3,5,2,5,3,3,1,11,13,12,3,9,15,10,"$2,082.00",0.65,"$1,560.00",$481.00,893,"6,857","8,329","1,676","3,434","8,555","$18,276.00","$18,433.00","$7,337.00","$13,104.00","$20,142.00","$4,334.00","$10,978.00","$11,042.00","$16,122.00","5,895",Comment text to 300 characters
42003,14,3,9,9,3,4,2,1,1,9,13,12,11,10,13,5,1,2,3,5,2,5,5,4,2,2,4,7,6,7,7,7,4,6,5,11,18,7,19,18,15,6,16,9,4,16,19,10,5,7,8,0,1,3,3,2,8,2,1,2,9,7,7,3,10,5,7,8,2,0,5,6,0,6,1,0,0,6,4,1,6,1,8,12,6,6,9,12,7,"$1,977.00",0.57,$35.00,"$1,653.00","2,824","1,531","1,544","1,883","1,777","9,544","$3,188.00","$4,997.00","$18,751.00","$12,655.00","$16,353.00",$420.00,"$2,855.00","$5,582.00","$1,474.00","9,299",Comment text to 300 characters
52003,2,12,10,5,1,14,2,13,0,10,1,5,1,1,8,1,3,0,1,0,0,3,5,5,0,4,5,6,4,7,5,5,6,5,6,9,9,13,12,1,14,16,3,5,3,6,1,4,6,0,5,8,6,9,5,9,8,9,0,5,2,8,8,6,7,2,10,5,3,2,2,3,2,2,5,1,3,5,5,2,3,3,8,6,15,13,10,14,21,$706.00,0.60,"$2,394.00","$2,021.00","7,064","2,297","6,447","3,012","2,600","1,723","$18,333.00","$7,933.00","$13,906.00","$11,520.00","$5,254.00","$7,518.00","$8,177.00","$17,801.00","$1,501.00","7,635",Comment text to 300 characters
62003,10,0,3,0,2,0,10,11,14,3,7,2,13,3,9,3,4,4,4,5,5,3,4,2,4,3,4,6,4,5,6,7,7,6,4,6,7,18,6,18,15,10,0,9,5,5,19,3,3,8,3,0,5,0,9,10,7,9,3,3,2,8,3,6,2,5,7,3,4,1,2,2,1,0,0,3,4,3,5,2,0,1,15,1,7,8,6,6,21,"$1,566.00",0.60,"$1,623.00",$487.00,"8,715",792,"8,574","7,971","2,495",53,"$17,483.00","$10,097.00","$13,324.00","$2,339.00","$16,423.00","$12,855.00","$13,354.00","$1,602.00",$12.00,"2,000",Comment text to 300 characters
72003,7,10,0,4,1,6,11,6,2,15,4,13,15,15,7,1,2,1,4,4,2,0,5,4,1,5,4,4,5,4,5,5,7,5,7,6,15,18,17,4,10,5,8,17,5,15,3,5,3,1,10,7,10,1,10,0,9,1,8,7,3,3,0,10,1,6,1,10,6,1,1,0,5,1,3,0,4,0,3,0,2,5,10,6,3,7,10,13,9,"$1,446.00",0.64,$584.00,"$1,292.00","4,786","8,855","5,803","9,598","3,405","8,691","$13,713.00","$1,363.00","$11,156.00","$13,183.00","$2,625.00","$7,613.00","$2,328.00","$1,980.00","$9,285.00","8,081",Comment text to 300 characters
82003,2,8,14,3,15,11,0,10,12,8,6,1,1,13,0,3,4,0,5,2,3,5,3,1,4,3,6,5,6,4,5,5,7,7,7,4,12,19,3,14,5,8,14,0,19,19,4,5,0,0,1,10,1,0,5,3,10,3,1,1,9,9,3,2,4,4,2,4,4,4,2,3,4,5,0,1,6,3,6,1,0,3,10,8,4,1,15,7,19,"$1,975.00",0.10,$872.00,"$2,203.00","6,457","6,969","5,150","3,495","5,979","3,450","$1,543.00","$4,513.00","$10,288.00","$12,979.00","$17,355.00","$16,435.00","$12,119.00","$17,701.00","$6,736.00","8,705",Comment text to 300 characters
92003,11,11,9,7,5,12,10,3,5,3,3,12,2,10,3,2,5,2,3,1,2,1,5,0,4,3,5,5,4,6,4,7,4,4,5,18,13,18,8,5,4,3,1,11,13,20,3,4,8,2,10,9,10,4,1,1,9,0,0,4,2,4,5,10,6,10,8,10,5,0,3,1,5,1,4,0,5,1,0,6,5,2,0,2,9,9,8,15,19,$648.00,0.72,"$1,263.00","$2,229.00","8,929","2,685","1,863","6,743","2,425","1,917","$14,110.00","$15,806.00","$15,008.00","$15,811.00","$19,789.00","$9,450.00","$2,579.00","$17,927.00","$3,916.00","2,847",Comment text to 300 characters
102003,8,12,14,0,1,8,5,6,1,7,7,13,4,6,8,1,2,1,5,2,5,5,0,2,1,1,6,5,4,4,7,4,6,4,7,9,10,8,7,1,3,3,19,2,13,20,13,1,10,0,8,10,7,1,0,6,5,6,8,9,8,6,8,4,6,10,4,5,2,6,1,4,2,0,4,3,6,2,5,3,6,5,2,1,3,14,0,4,0,$851.00,0.36,"$2,408.00",$433.00,"6,889","2,705","9,994","1,954","9,780","1,368","$1,663.00","$1,026.00","$5,252.00","$2,724.00","$14,160.00","$5,942.00","$18,618.00","$1,970.00","$2,913.00","8,435",Comment text to 300 characters
112003,2,14,1,12,0,1,4,13,11,10,13,0,9,14,11,3,5,2,1,3,3,4,0,1,3,4,4,6,5,7,7,5,5,6,6,13,17,16,20,2,17,14,4,13,1,20,3,9,4,9,4,7,4,0,4,2,1,4,7,7,5,9,4,4,9,4,8,6,1,5,3,2,3,2,2,4,4,2,2,4,0,6,6,11,4,4,12,13,10,$735.00,0.83,$58.00,"$2,082.00","4,607","9,618","4,215","2,911","6,638","3,203","$5,538.00","$17,535.00","$19,907.00","$6,642.00","$3,196.00",$200.00,"$12,363.00","$4,241.00","$4,457.00",803,Comment text to 300 characters
122003,13,5,13,10,11,13,14,14,6,2,8,1,10,9,11,1,3,3,1,4,5,1,5,4,2,1,7,6,7,5,6,7,6,4,6,20,11,15,9,13,16,8,4,14,14,19,20,4,9,3,3,0,4,4,10,0,4,3,8,0,7,4,1,3,9,4,4,7,1,5,0,5,4,6,6,2,6,0,3,0,3,4,0,6,12,10,8,5,14,"$1,191.00",0.63,$476.00,"$1,774.00","9,655","6,628","3,004",712,"9,251","9,196",$755.00,"$14,197.00","$1,207.00","$14,997.00","$14,246.00","$2,181.00","$16,336.00","$4,662.00","$18,795.00","3,684",Comment text to 300 characters
12004,5,12,12,6,7,2,13,8,4,6,0,6,3,15,0,1,1,4,4,5,1,5,4,5,0,2,7,4,5,7,5,7,7,5,7,6,2,14,13,7,7,9,1,10,10,15,7,5,8,9,7,9,10,9,3,5,8,3,4,0,1,9,3,10,3,0,9,9,4,5,1,2,5,4,3,6,4,2,1,0,1,1,3,9,4,15,8,6,23,"$1,749.00",0.67,"$1,488.00","$1,440.00","1,898","5,657","6,213","4,054","1,064","8,410","$1,251.00",$856.00,"$12,638.00","$8,155.00","$9,841.00","$4,258.00","$16,983.00","$16,950.00","$8,145.00","5,909",Comment text to 300 characters
22004,1,1,0,9,11,14,0,10,14,2,1,6,15,12,1,2,0,1,4,4,5,1,5,4,3,5,4,4,4,7,6,4,7,4,5,16,2,11,8,20,1,10,20,17,13,4,20,5,9,5,6,3,2,2,10,0,2,5,5,1,0,7,3,7,1,3,2,8,2,6,5,2,3,2,4,2,6,4,5,2,0,1,11,3,0,15,7,12,1,"$1,035.00",0.87,"$2,253.00","$1,253.00",123,"7,525","6,374","8,609",80,"5,819","$8,084.00","$13,649.00","$14,898.00","$6,484.00","$4,071.00",$37.00,"$20,130.00","$13,096.00",$154.00,"5,963",Comment text to 300 characters
32004,8,12,10,13,4,12,4,1,12,0,7,12,0,14,8,3,4,1,2,3,1,0,3,3,5,5,7,5,4,4,5,6,5,7,7,19,0,19,14,10,7,19,16,18,19,10,1,0,1,6,10,2,0,2,1,8,6,8,7,0,10,6,1,9,5,9,5,0,0,4,2,6,1,3,6,3,3,1,1,2,1,1,12,15,3,7,1,9,8,$27.00,0.47,"$1,655.00","$2,287.00","6,934","8,737","6,236",129,"3,696","4,285","$9,169.00","$20,232.00","$3,778.00","$20,373.00","$18,980.00","$11,372.00","$6,825.00",$476.00,"$16,888.00","7,344",Comment text to 300 characters
42004,2,6,12,1,5,6,4,7,11,9,9,7,4,11,13,5,4,2,1,3,3,2,2,4,2,3,4,5,5,6,7,7,6,4,5,11,8,4,14,5,18,9,14,7,6,9,12,6,1,3,10,6,4,9,2,5,0,1,0,3,2,1,3,2,3,8,9,2,2,5,1,4,6,6,4,4,1,6,1,0,4,1,3,8,9,12,11,1,9,$957.00,0.11,"$1,025.00","$1,983.00","2,245","8,941","7,475",851,653,"4,838","$7,726.00","$9,638.00","$3,201.00","$1,083.00",$435.00,"$19,128.00","$13,673.00","$10,373.00","$11,789.00","8,526",Comment text to 300 characters
52004,14,7,13,15,9,9,14,8,15,8,9,10,12,7,12,1,0,3,4,3,2,5,1,5,2,2,5,7,7,5,7,6,5,6,4,11,14,1,12,11,18,14,3,20,7,12,2,7,10,7,1,4,6,9,8,10,5,10,4,6,4,9,2,5,2,5,10,0,5,4,4,1,4,2,0,0,1,4,3,4,5,2,7,1,10,8,11,4,19,"$2,227.00",0.94,"$1,470.00","$2,310.00","6,150","1,060",555,193,"5,934","2,686","$17,580.00","$4,386.00","$19,718.00","$7,796.00","$15,777.00","$11,682.00","$5,918.00","$18,700.00","$8,079.00","1,063",Comment text to 300 characters
62004,13,6,15,3,11,12,5,13,6,7,15,2,1,1,13,3,5,5,2,0,5,4,1,4,3,2,4,6,5,5,6,6,4,4,5,6,13,9,3,17,4,0,14,1,11,5,4,2,4,7,2,3,3,2,3,2,1,7,1,4,3,1,7,6,0,6,2,2,1,0,5,1,4,6,1,1,2,6,6,3,5,6,12,8,1,13,14,0,8,$314.00,0.50,$396.00,"$2,213.00","4,873","3,747","3,396","8,370",315,"3,205","$7,346.00","$13,507.00","$2,211.00","$9,344.00","$12,412.00","$15,379.00","$3,552.00","$5,732.00","$10,391.00",699,Comment text to 300 characters
72004,4,1,8,3,8,5,13,0,5,2,12,12,0,10,14,3,3,4,5,0,5,5,0,1,5,5,6,6,7,4,5,5,4,5,6,12,12,14,4,1,14,3,6,2,14,3,3,10,0,7,2,1,2,6,2,2,7,8,3,7,0,4,4,10,1,6,4,8,0,4,1,3,0,4,2,5,0,3,4,4,2,3,13,12,5,4,6,11,9,$256.00,0.97,$867.00,"$1,744.00","6,026","8,617","1,641","5,914","8,837","3,890","$12,109.00","$15,035.00","$3,342.00","$18,629.00","$11,928.00","$1,843.00","$11,809.00","$17,885.00","$20,405.00","7,484",Comment text to 300 characters
82004,0,13,4,12,3,10,8,3,2,7,2,14,5,3,10,1,2,2,4,5,2,0,4,0,0,4,6,4,4,4,7,4,4,7,7,9,13,15,19,10,19,14,11,7,0,12,19,3,6,2,9,5,5,8,1,5,7,2,10,7,8,3,0,9,0,2,7,0,0,1,6,0,0,3,6,0,1,5,6,0,4,0,11,4,3,2,9,5,15,"$1,051.00",0.89,$729.00,$677.00,"4,186","6,047","9,770","5,503","1,149","5,528","$4,707.00","$19,578.00","$3,461.00","$16,853.00","$19,982.00","$12,789.00","$10,261.00","$4,047.00","$18,802.00","4,139",Comment text to 300 characters
92004,1,0,13,9,15,8,13,5,10,8,1,4,9,9,10,2,4,3,1,0,0,5,5,5,4,5,4,4,7,7,4,5,5,4,4,20,15,1,6,11,13,5,18,6,12,13,10,10,0,9,10,3,6,10,5,0,5,9,10,1,7,2,4,4,10,8,2,4,5,4,6,3,4,0,4,1,4,2,0,2,4,3,10,10,12,0,12,0,14,$288.00,0.59,$717.00,"$1,154.00","5,604","6,186","1,555","8,446","5,838","3,349","$6,319.00","$10,433.00",$529.00,"$14,843.00",$396.00,"$16,211.00","$4,554.00","$16,328.00","$2,167.00","7,352",Comment text to 300 characters
102004,14,13,3,7,6,2,3,6,14,7,0,3,2,7,4,4,1,1,3,0,3,5,1,4,0,0,5,6,4,7,5,4,4,6,4,7,13,11,11,0,7,7,5,4,10,3,4,3,2,5,0,3,6,9,4,9,4,10,8,1,3,7,4,2,4,7,0,7,3,2,0,5,2,6,4,3,3,3,6,1,4,1,1,13,1,8,5,14,10,"$2,062.00",0.76,"$1,207.00",$855.00,"3,912","4,286","1,070","3,205","5,059","8,771","$18,868.00",$211.00,"$5,142.00","$12,344.00","$2,848.00","$16,307.00","$10,157.00","$11,293.00","$9,018.00","6,813",Comment text to 300 characters
